wallet,stake_fixed,boost_fixed
KKR36IGM5ND2QAQBMLF3JM3J4DK6QA72IYTMNRS77TI2XBMCJMWMJHB26Q,1000,791.7251337
ZV2ARRFLRKYDITUMIFR5TVAUIEBUGJISGNO6ZYOU5RXUXZVWZICRPE4WUM,1000,791.7251337
SFUIX56X7FMAQKR4AN4ZNB7YSOQXBLCG2K4UQBTR3PSE7J6U3JAEEMSW2A,946.055604,749.0159995
PWH7IRFIIIDLO6HXF6DJUR5XLAIZIKJIRDQTAKPIXUJKQT4ZPTV5ROUT7Q,938.624961,743.1329727
64ZACGAWXC5FD3PGFNHI7HBTF7CAOSC5L5BEOYTEOHCQLCREEVNWXTT2UE,901.224471,713.5220648
PPCUEYOBLD47TBNOBDT7DUUHVWN2O5IRZO6A635XM3FHEOEPKBEWCWGQFI,900.999998,713.3443439
QFR4EUKAIXE54IGOZ22NRE3WRY5TIUIIFWDJT4PJCF6AS7VT5AWHJSJKKY,828.600404,656.0237656
OQHX55QZJJ2OMLWRPO7NFWTN4XVMWLW3FAAW4DDKGD3QRWV5FV5IOUJU5U,815.221066,645.4310075
XRBTE3I3BUH6MKU5LZTAIB5UEZPBP4LXLEEAFPWCDSUFVNIUAGR7SH6XDA,811.788537,642.713388
SHOPX2E7ZHHE7NPC6JGCVF45T75TFW5U2RGU7K25J34FJPTZX3ZEHEWPYI,786.287072,622.5232372
IQR7RFGLJFIQUQZPXJQOZTVKSCM4VFFY6SDW4Q4PQHDUCNQKIS5FSJVJXI,771.302569,610.6596295
F62LNWWKZ2HO56G4DVUDHYDHJVTMKZEJANC7ILYQVRWMHJ5E4KI63BTBWY,747.435674,591.7636089
UKPJBXEDRH5ZFCSSEWOSGZTOAZCB46HKVB22CO5I7SNSFTLMWVDIYA2S7Q,719.666666,569.7781873
PFLEC6EGO5CGHQYFZ5ZMGBPW4BIXERHYT5KDY5EQHEQMIDPUJNGNUHAZPE,701.594638,555.4701086
IYVKWKZT743PXWYFEX3NZR5QPT5DOETCX5NEPXAQ4CZ7JXZJVY35Q2ZGPY,699.959557,554.1755738
GNE42RVAR73U7PMRIV5CHRKFTLLFPGKJJTQRG7SUGDYMO2Y6XZGWMULYUA,697.196572,551.9880492
2ARQSTRRLV2APPXOVMRFURXB43QGBJWBJ73ZDMPW5NI2I66QNBWQR62NKE,681.893052,539.8718677
3YU32LVGPPKFR3EFGPNHCOTWLI34VZTDRBZ4ADCDAK4XS7KLNSYWXSSPP4,680.900976,539.0864162
H7RUBDWIAQYC3TGF5232DV7CAB3I2LCVYVG3OLHKHNYDLOF3SSVMW6THFM,657.390756,520.4727842
GLA2S6655OKM6VMZYKDACUE4ORNTBBOXY3KYO34QDIBYGREDEUGJYET36M,633.08,501.2253476
HPDTLJ3U6T4W3VCWZKAERPGXDWVSJ2TXFW5HHMXZTED3VPLCC36JLHDYWQ,609.566858,482.6094021
5SHWUUD6PZ7IC3QCAFB3A6MVZMO73ZAONKAIKMOAUAV7DTRGLN4VK23NEA,600,475.0350802
ZS5Z4T4P5VBRHAGLGULPQERYJXFTH3WL2AUX63ZZD4R3RYYJ77FELHOF5M,600,475.0350802
SMZJ3UBXOLYVTO7OVVUUFKDPIBJARHHT2HRYQ4BTAP5JTKJ4A5UCHAVVNE,596.543413,472.2984134
KHZWNYNMYV2Q6JAN4TP4GUMYNHJJ5RI4KHVD2ELZNSHA7Y5NVJLAJB4TWI,592.087308,468.7704031
UK5GLQ3IT6OIROG2HNP3CGX7G2WCJSMRQ6TDRVGGI5BXSTZ4Y663X7EFNE,585.628602,463.6568832
O4ZHGTKLSUU7A7VHDDP4OSRUTXL45NJRRV5WUDV7XOJCUOUW5M7FWUHQAE,584.939331,463.11117
7BXIAE7Y5PMGXNYO6KXIC4PGXHOR7LJ6RA7MI7K5S3ZYLK4IN3H5M6Z5NA,584.378584,462.6672125
2H6X5F3PNXE6H7NX6T76S53IRBDLCZYPNDLEBHMWWCOXNRUA7CKDZ4Z3KM,583,461.5757529
H23CE7345ZNG4PH3YFX6RBAP4FZM2N2ZLESQG5GXFMVQLN7VRMTO2OSY2A,580.898161,459.9116742
N3MGYQAJZWE5FZSY5LK3GZRGCBLX36BHFUP5CV6XX3XOERUEUYMPWDQQAE,563.333331,446.0051568
RAV7URAQOO3AUMNZNL6FJWRCRRNBBPTDI4U67CHWHG2XCOTBR5VSGLR2FQ,559.362978,442.8617285
LA7NABSPIOSHDVS4KEDUIUVMR4E7AUI72FRMZEBYDJA7AQBR4ZZL4IFXYA,556.710914,440.7620228
J32N7P7SBD7ARQL2UNCAPT3WYLHFNDW7UTZ7PNRTRIFDV4DRPHAHHRX4CE,555,439.4074492
M66FCOKSI7O2PCGJTICE4YZZ7BEJWVJASNO7UXRBVANPTJP3BX56ZTHXOU,555,439.4074492
ZGRLQTU6JAEOF7F4TV5V2XYMKL34GA2O4DKQRCYMUXVDOU6B5WD6PDJ5LU,548.75532,434.4633791
DMCX5ZXCT2UJIUT3P7PJOJIWJ5AEUYO3A6KSTUNFLYMKC7F3KKRKZQKKSU,546.94314,433.0286306
Y7DLHSKTKDG6DCODSCFFMII6VR7BMJSM5QYVM73H5UNU7JZPXDLPNLN4GU,546.821197,432.9320853
NQIIFMWPSJDWBRF6M5MW4ZW4KIJWCEQDODPJYHCGR7V5YETSJ57RGKCBZ4,524.99535,415.6520137
JNDZUW4J2HTTDVLQZEYNME3H7DMMCIIMQOV6ZOQ6WBDWP4RHZXXQ746AKA,523.818095,414.7199513
J7S2AWUNO7OXYGPF2EZGEX37FBKHHCW2UOSZPYZRYE6KZPRL373ZIX446Q,520.110127,411.7842598
LEHPNJC5SSZS4EORWF6NTS5FACVNPVBSOE64HWQFM7OVIVOGCBVJJEYHFE,518.601206,410.5896091
NRTEXAMK453CNJSRTV43JNZLOLI2TSRS55G2QVS5N474HXFYCOOXBULR6A,516.910127,409.2507394
MWOZSHHMZAL7SMPSFS2UAV32B3JMIAZDHTK4D62KY4J6GOHBFM2CW3IJT4,514.191476,407.0983151
2NIRG5AVUS6W5NGAFKQSVGNZKVSZR2X3S3E5VSY4SDVQTGQBUIFTOY5FM4,507.24,401.5946568
U3H3GV4SKGLLMZHA2276EDMZB3HW4VUPAHOK3YN2U6YJYHTSPBFZWGPUBU,504.63676,399.5336063
MA5BR2I3JV5N2BGHUUUZHZ4OJP3LCBDPKQX2DM3G6YUOIFOJ2UKCASFV74,500.666666,396.3903831
5G7HZ7ZTNZZHAUJJCID7ZSFSNKP7JXRATXMU2HJFYC4BM6J6ZM5BCZHYUM,500,395.8625668
3ZVKMFLTWSZCN74CL3KHNJVHRXQSEFHTL4GRT3O4I45MA4O6VMEBIA7PSU,481,380.8197893
JVDGHHPLH5M3HYYSQ4RJXUFIBF7WJ4JXEXMRBWB6YRZM7EH6NOPDE4WJBU,476.46,377.2253572
CBHS3ZAVZYUYJOU6CC3WZJUQRNKBQWVVVUBNXTIYWCQVTBF2GLFP2ZX7B4,476.4233,377.1963009
23P7OFDFH4AOAIOOTUPUBVWOCPYUTKGSYJS7LO2RVFO3M3OVHILKIDGENI,460,364.1935615
3LCFZYZEAZDHWMHOQIFJ4SEIMIBHM6KCMTIDYF5RXVRTKQRCKJWTNWWQ5I,444.198274,351.6829379
EI5V7TRJUHEONWMOFDGN4DDD4MXFNSJBZMFSUHRZORPH2NDW5UC5GYU2PM,441.16551,349.2818224
GB57AJAYG2WSV35JAXIF7PSTAMWQ5NVEKZBU36QQ5CYHGUPWY6AKYDM65Q,434.094387,343.6834366
SBMDIDOY42JIZVPVMUOHZHFAVEPGZKAKKKW622D6IA7X6HPZC3JOOPTVGM,428.138345,338.9678884
DXJLG7H4OLD7JUTKRBDTKUIYXRTUJUKERLF5JZQJ7FFK6QE33UGF6Y3P4A,424.833332,336.3512266
G57DDRXUAIXOXXI7SONVLFFD5AVDLI25TK3FCMSVMJYK36DPC33EY2DWFQ,418.504411,331.3404607
7FP7E77D6E3DITFNX5NU54TATZNYHACMDMWC6N4G7MXQIXNCTDTI2V2WGY,404.102442,319.9380599
KMDNZHV77VLDHRTSTAJ4CCBHKTBZAQ4JYB5HRLCODQSXJXXX7L5YHLVHGA,402.995821,319.0619203
QY52CU73DRUIEP5KB7Y3MD3SCFSCOVAEEPBAY5W5OT7L3H6GH5TI6HJYCE,400,316.6900535
MQDZ76GZOFS2J6DYJMEV242TJEAODOQSJUTZ73FHH2FU6WP4CQUGA46FTI,397.949645,315.0667359
UGRVAIAGDLUI7KTHQLZG7JSXR7ICDRM77MWZPLBVGQ2NYVIMCCVACHIGOA,386.744672,306.1954771
ZJYEZ53MWFDH64BCOB4CEAZ32J6FMQF3EO2ZSB4HQJEGPQNCKS3RKQ6D7Y,378.099438,299.3508281
U55AND5G2IRBMN3XN2XXZ3DPEQGMPTJTZU5AOI7MIOXXZMWYDZJFUKK3MQ,374.896967,296.8153513
RD2ARX4E4HIL2ZAU2EKPOPUV3RQ6YIP6Z2DR6RTYAHXJAUAQZ6ML6QPY5U,373.228006,295.4939929
IS5JBN2X57XNCIOKPMGGT2IHZL23NLNFR7INGGNYOTA2RXAFHGBSC46V7Y,359.050476,284.2692861
K2BJUZTPLZRGORJUP5M2RUH6PRGSSMIQ6W3FTITNYKKBWSJSEMN6EL5C6Q,358.138297,283.5470911
S4JUS6D2RJAHLXVMTZOR4W5UMFSCHSP3SRUG6XRY3DIFU2P4W7UGVHE2UU,353.444,279.8304981
MQMWHCRYIIG2XSE7JEU22AUSLJOPVZB4UVNDBNHGCBI6HXF5GZMEQQ6IG4,352.95,279.4393859
DSZKAZK5T4RCXMACXLGIMZRJOVXYUCJUIAT7RARAPDHV2CYBR67CZ5YDU4,342.759147,271.3710315
ROPY4MHFRM7SQTGTOHEVKMG4WLUEK673OFZPWXROQNYPEQY6HFGSHTTEFE,337.270329,267.0253963
YSTMV7TMSEWQCU3S44LOD5H43DYJ4AOUVGJLFOOSPYO3FJT7BUFBRY322M,332.323907,263.1091897
5VOCNBLGD54KDH4NTU4FHXW3DUO5IXMUVM5M2OFVFHOB3OV6UWYDB7FEZ4,325.620477,257.8019157
D6ET7ZP6IXGN5C7OK2XJPCHRD6B7AYWW4RGPF4UC5E6RFYSGCU4MNKVYOA,320,253.3520428
ZMT7PD7634CZMBENMHRMTXAS3AC7P4KYP2NZ3LGZDKVF7LAYJLVMMANGVY,315.580191,249.8527689
XBLPCRAO3DBAJRHAGVYLVVFLSWOU7GZBBMR5MMHVJUBVNWHS57JCL5JNEI,315.573978,249.8478499
X2SQQV6VFYZZYA6O6MJ2GIEBMJ3BFW54HXA5BWGCMWTEEWF6LVLOJ7V25Y,314.111509,248.6899765
FG6LU36BPJYXCJYERLDTQVQ4NOJZWPACQGHBEMBQQAFNAUFT746JW6TLMQ,312.11205,247.1069545
I7N4FS2FADNX3GXEGVTAFZTKXGQPEMMRXTUVGDXR2BQGXI7EXJDV6DWYEY,310.275972,245.6532854
33SOJABSNGS4I4VU7JKXIF42QXDDXTTOYWJYUXXMWWIWGN3UUYRBK7RW3Q,306.55705,242.7089214
